,kilde (aktivitet),energiprodukt,komponent,år,statistikkvariabel,"13931: Klimagasser AR5, etter kilde (aktivitet), energiprodukt, komponent, år og statistikkvariabel"
0,0 Alle kilder,VT0 I alt,A10 Klimagasser i alt,1990,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",51348
1,0 Alle kilder,VT0 I alt,A10 Klimagasser i alt,1991,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",48987
2,0 Alle kilder,VT0 I alt,A10 Klimagasser i alt,1992,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",47450
3,0 Alle kilder,VT0 I alt,A10 Klimagasser i alt,1993,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",49379
4,0 Alle kilder,VT0 I alt,A10 Klimagasser i alt,1994,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",51331
5,0 Alle kilder,VT0 I alt,A10 Klimagasser i alt,1995,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",51741
6,0 Alle kilder,VT0 I alt,A10 Klimagasser i alt,1996,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",54642
7,0 Alle kilder,VT0 I alt,A10 Klimagasser i alt,1997,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",54619
8,0 Alle kilder,VT0 I alt,A10 Klimagasser i alt,1998,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",54694
9,0 Alle kilder,VT0 I alt,A10 Klimagasser i alt,1999,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",55698
10,0 Alle kilder,VT0 I alt,A10 Klimagasser i alt,2000,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",55092
11,0 Alle kilder,VT0 I alt,A10 Klimagasser i alt,2001,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",56344
12,0 Alle kilder,VT0 I alt,A10 Klimagasser i alt,2002,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",55034
13,0 Alle kilder,VT0 I alt,A10 Klimagasser i alt,2003,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",55655
14,0 Alle kilder,VT0 I alt,A10 Klimagasser i alt,2004,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",56028
15,0 Alle kilder,VT0 I alt,A10 Klimagasser i alt,2005,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",54897
16,0 Alle kilder,VT0 I alt,A10 Klimagasser i alt,2006,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",54870
17,0 Alle kilder,VT0 I alt,A10 Klimagasser i alt,2007,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",56548
18,0 Alle kilder,VT0 I alt,A10 Klimagasser i alt,2008,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",55026
19,0 Alle kilder,VT0 I alt,A10 Klimagasser i alt,2009,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",52541
20,0 Alle kilder,VT0 I alt,A10 Klimagasser i alt,2010,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",54855
21,0 Alle kilder,VT0 I alt,A10 Klimagasser i alt,2011,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",53848
22,0 Alle kilder,VT0 I alt,A10 Klimagasser i alt,2012,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",53258
23,0 Alle kilder,VT0 I alt,A10 Klimagasser i alt,2013,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",53481
24,0 Alle kilder,VT0 I alt,A10 Klimagasser i alt,2014,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",53878
25,0 Alle kilder,VT0 I alt,A10 Klimagasser i alt,2015,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",54417
26,0 Alle kilder,VT0 I alt,A10 Klimagasser i alt,2016,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",53533
27,0 Alle kilder,VT0 I alt,A10 Klimagasser i alt,2017,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",52838
28,0 Alle kilder,VT0 I alt,A10 Klimagasser i alt,2018,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",52991
29,0 Alle kilder,VT0 I alt,A10 Klimagasser i alt,2019,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",51223
30,0 Alle kilder,VT0 I alt,A10 Klimagasser i alt,2020,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",49499
31,0 Alle kilder,VT0 I alt,A10 Klimagasser i alt,2021,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",49325
32,0 Alle kilder,VT0 I alt,A10 Klimagasser i alt,2022,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",48973
33,0 Alle kilder,VT0 I alt,A10 Klimagasser i alt,2023,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",46654
34,0 Alle kilder,VT0 I alt,K11 Karbondioksid (CO2),1990,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",35009
35,0 Alle kilder,VT0 I alt,K11 Karbondioksid (CO2),1991,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",33466
36,0 Alle kilder,VT0 I alt,K11 Karbondioksid (CO2),1992,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",34402
37,0 Alle kilder,VT0 I alt,K11 Karbondioksid (CO2),1993,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",35948
38,0 Alle kilder,VT0 I alt,K11 Karbondioksid (CO2),1994,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",37863
